-40,80,0,337.91,908.207,337.91,908.207
-20,80,0,435.268,904.889,435.268,904.889
0,80,0,531.481,902.508,531.481,902.508
20,80,0,627.241,901.171,627.241,901.171
40,80,0,723.744,901.221,723.744,901.221
-60,60,0,240.513,812.887,240.513,812.887
-40,60,0,338.422,809.272,338.422,809.272
-20,60,0,434.596,806.478,434.596,806.478
0,60,0,530.371,804.478,530.371,804.478
20,60,0,625.222,802.658,625.222,802.658
40,60,0,720.838,801.58,720.838,801.58
60,60,0,817.875,802.155,817.875,802.155
-80,40,0,141.002,718.602,141.002,718.602
-60,40,0,240.72,715.392,240.72,715.392
-40,40,0,337.626,712.611,337.626,712.611
-20,40,0,433.42,710.435,433.42,710.435
0,40,0,528.545,708.565,528.545,708.565
20,40,0,623.506,706.625,623.506,706.625
40,40,0,718.478,705.404,718.478,705.404
60,40,0,814.734,704.614,814.734,704.614
80,40,0,913.915,704.766,913.915,704.766
-80,20,0,140.523,621.406,140.523,621.406
-60,20,0,239.75,619.4,239.75,619.4
-40,20,0,336.465,617.343,336.465,617.343
-20,20,0,432.077,615.402,432.077,615.402
0,20,0,527.343,613.465,527.343,613.465
20,20,0,621.886,611.615,621.886,611.615
40,20,0,716.539,609.582,716.539,609.582
60,20,0,812.508,608.519,812.508,608.519
80,20,0,910.8,607.572,910.8,607.572
-80,0,0,138.899,524.763,138.899,524.763
-60,0,0,238.294,523.598,238.294,523.598
-40,0,0,334.58,522.294,334.58,522.294
-20,0,0,430.445,520.441,430.445,520.441
0,0,0,525.508,518.481,525.508,518.481
20,0,0,620.371,516.522,620.371,516.522
40,0,0,714.675,514.65,714.675,514.65
60,0,0,810.615,512.886,810.615,512.886
80,0,0,908.89,511.37,908.89,511.37
-80,-20,0,135.966,427.98,135.966,427.98
-60,-20,0,235.596,427.603,235.596,427.603
-40,-20,0,332.569,426.69,332.569,426.69
-20,-20,0,428.17,425.192,428.17,425.192
0,-20,0,523.373,423.314,523.373,423.314
20,-20,0,618.101,421.469,618.101,421.469
40,-20,0,712.868,419.494,712.868,419.494
60,-20,0,809.31,417.431,809.31,417.431
80,-20,0,907.998,414.602,907.998,414.602
-80,-40,0,131.902,330.09,131.902,330.09
-60,-40,0,232.386,330.866,232.386,330.866
-40,-40,0,329.547,330.458,329.547,330.458
-20,-40,0,425.58,329.435,425.58,329.435
0,-40,0,521.03,327.665,521.03,327.665
20,-40,0,616.196,325.891,616.196,325.891
40,-40,0,711.602,323.609,711.602,323.609
60,-40,0,808.405,320.903,808.405,320.903
80,-40,0,908.069,317.009,908.069,317.009
-60,-60,0,227.931,232.157,227.931,232.157
-40,-60,0,326.596,232.603,326.596,232.603
-20,-60,0,422.916,232.314,422.916,232.314
0,-60,0,518.711,230.892,518.711,230.892
20,-60,0,614.494,228.625,614.494,228.625
40,-60,0,710.518,226.063,710.518,226.063
60,-60,0,808.843,222.512,808.843,222.512
-40,-80,0,322.308,131.921,322.308,131.921
-20,-80,0,419.904,131.955,419.904,131.955
0,-80,0,516.548,131.034,516.548,131.034
20,-80,0,613.206,129.013,613.206,129.013
40,-80,0,710.883,125.68,710.883,125.68
30,10,0,668.246,563.193,668.246,563.193
27.75,-9.25,-72,666.399,467.182,666.399,467.182
27.75,-27.75,-72,664.677,372.082,664.677,372.082
-9.25,-27.75,-72,475.012,375.787,475.012,375.787
-30,-10,0,381.554,473.545,381.554,473.545
-10,30,0,480.408,661.854,480.408,661.854
9.25,27.75,-72,575.386,658.812,575.386,658.812